company,model,year,kms_driven,fuel_type,Price
Hyundai,Santro,2007.0,45000.0,Petrol,80000.0
Mahindra,Jeep,2006.0,40.0,Diesel,425000.0
Hyundai,Grand,2014.0,28000.0,Petrol,325000.0
Ford,EcoSport,2014.0,36000.0,Diesel,575000.0
Ford,Figo,2012.0,41000.0,Diesel,175000.0
Hyundai,Eon,2013.0,25000.0,Petrol,190000.0
Ford,EcoSport,2016.0,24530.0,Diesel,830000.0
Maruti,Suzuki,2015.0,60000.0,Petrol,250000.0
Skoda,Fabia,2010.0,60000.0,Petrol,182000.0
Maruti,Suzuki,2015.0,30000.0,Petrol,315000.0
Hyundai,Elite,2014.0,32000.0,Petrol,415000.0
Mahindra,Scorpio,2015.0,48660.0,Diesel,320000.0
Hyundai,Santro,2007.0,45000.0,Petrol,80000.0
Mahindra,Jeep,2006.0,40.0,Diesel,425000.0
Audi,A8,2017.0,4000.0,Petrol,1000000.0
Audi,Q7,2014.0,16934.0,Diesel,500000.0
Mahindra,Scorpio,2016.0,43000.0,Diesel,350000.0
Maruti,Suzuki,2014.0,35550.0,Petrol,160000.0
Mahindra,Scorpio,2016.0,43000.0,Diesel,350000.0
Mahindra,Scorpio,2016.0,39522.0,Diesel,310000.0
Maruti,Suzuki,2015.0,39000.0,Petrol,75000.0
Hyundai,i20,2012.0,55000.0,Petrol,100000.0
Hyundai,i20,2012.0,55000.0,Petrol,100000.0
Hyundai,i20,2012.0,55000.0,Petrol,100000.0
Maruti,Suzuki,2017.0,72000.0,Petrol,190000.0
Maruti,Suzuki,2016.0,15975.0,Diesel,290000.0
Maruti,Suzuki,2008.0,70000.0,Petrol,95000.0
Mahindra,Bolero,2017.0,23452.0,Diesel,180000.0
Maruti,Suzuki,2014.0,35522.0,Diesel,385000.0
Mahindra,Scorpio,2015.0,48508.0,Diesel,250000.0
Maruti,Suzuki,2017.0,15487.0,Petrol,180000.0
Maruti,Suzuki,2013.0,39000.0,Petrol,105000.0
Maruti,Suzuki,2013.0,39000.0,Petrol,105000.0
Toyota,Innova,2012.0,82000.0,Diesel,650000.0
Renault,Lodgy,2018.0,20000.0,Diesel,689999.0
Skoda,Yeti,2012.0,68000.0,Diesel,448000.0
Maruti,Suzuki,2017.0,32000.0,Diesel,549000.0
Renault,Duster,2012.0,38000.0,Diesel,501000.0
Renault,Duster,2013.0,27000.0,Diesel,489999.0
Honda,City,2011.0,33000.0,Petrol,280000.0
Maruti,Suzuki,2015.0,60000.0,Petrol,250000.0
Maruti,Suzuki,2013.0,46000.0,Diesel,349999.0
Honda,Amaze,2013.0,46000.0,Diesel,284999.0
Honda,Amaze,2015.0,36000.0,Diesel,345000.0
Honda,City,2015.0,55000.0,Petrol,499999.0
Datsun,Redi,2017.0,16000.0,Petrol,235000.0
Maruti,Suzuki,2010.0,36000.0,Petrol,249999.0
Mitsubishi,Pajero,2015.0,47000.0,Diesel,1475000.0
Mahindra,Bolero,2017.0,23452.0,Diesel,180000.0
Maruti,Suzuki,2014.0,35522.0,Diesel,385000.0
Mahindra,Scorpio,2015.0,48508.0,Diesel,250000.0
Maruti,Suzuki,2017.0,15487.0,Petrol,180000.0
Maruti,Suzuki,2013.0,39000.0,Petrol,105000.0
Maruti,Suzuki,2013.0,39000.0,Petrol,105000.0
Mahindra,Scorpio,2015.0,35000.0,Diesel,395000.0
Maruti,Suzuki,2017.0,30874.0,Petrol,220000.0
Honda,City,2017.0,15000.0,Diesel,170000.0
Maruti,Suzuki,2013.0,29685.0,Petrol,85000.0
Ford,Figo,2012.0,41000.0,Diesel,175000.0
Hyundai,Eon,2013.0,25000.0,Petrol,190000.0
Tata,Indigo,2017.0,130000.0,Diesel,200000.0
Ford,EcoSport,2016.0,24530.0,Diesel,830000.0
Tata,Indigo,2017.0,130000.0,Diesel,200000.0
Mahindra,Scorpio,2012.0,19000.0,Diesel,570000.0
Volkswagen,Polo,2014.0,60000.0,Petrol,315000.0
Skoda,Fabia,2010.0,60000.0,Petrol,182000.0
Maruti,Suzuki,2015.0,30000.0,Petrol,315000.0
Chevrolet,Spark,2010.0,41000.0,Petrol,110000.0
Renault,Duster,2012.0,35000.0,Diesel,501000.0
Honda,City,2015.0,54000.0,Petrol,448999.0
Mini,Cooper,2013.0,13000.0,Petrol,1891111.0
Datsun,Redi,2017.0,16000.0,Petrol,235000.0
Skoda,Fabia,2011.0,38200.0,Diesel,159500.0
Honda,Amaze,2015.0,22000.0,Petrol,344999.0
Honda,Amaze,2015.0,22000.0,Petrol,344999.0
Renault,Duster,2014.0,50000.0,Diesel,449999.0
Mini,Cooper,2013.0,13500.0,Petrol,1891111.0
Mahindra,Scorpio,2015.0,30000.0,Diesel,865000.0
Mahindra,Scorpio,2014.0,50000.0,Diesel,699000.0
Mahindra,Quanto,2013.0,20000.0,Diesel,375000.0
Ford,EcoSport,2017.0,39000.0,Petrol,489999.0
Honda,Brio,2012.0,30000.0,Petrol,224999.0
Volkswagen,Vento,2019.0,3600.0,Diesel,1200000.0
Hyundai,i20,2009.0,32000.0,Petrol,195000.0
Toyota,Corolla,2010.0,38000.0,Diesel,351000.0
Hyundai,Verna,2008.0,45000.0,Petrol,160000.0
Toyota,Corolla,2009.0,35000.0,Petrol,240000.0
Honda,City,2005.0,50000.0,Petrol,90000.0
Hyundai,Elite,2014.0,32000.0,Petrol,415000.0
Skoda,Fabia,2011.0,45863.0,Diesel,155000.0
BMW,3,2011.0,60500.0,Petrol,600000.0
Maruti,Suzuki,2011.0,12500.0,Petrol,189500.0
Toyota,Etios,2013.0,60000.0,Diesel,350000.0
Ford,Figo,2012.0,35000.0,Diesel,210000.0
Maruti,Suzuki,2014.0,35000.0,Petrol,390000.0
Chevrolet,Beat,2012.0,45000.0,Diesel,135000.0
BMW,7,2009.0,35000.0,Petrol,1600000.0
Mahindra,XUV500,2013.0,38000.0,Diesel,701000.0
Hyundai,i10,2014.0,18000.0,Petrol,265000.0
Hyundai,Verna,2015.0,35000.0,Diesel,525000.0
Maruti,Suzuki,2013.0,13349.0,Petrol,372000.0
Maruti,Suzuki,2016.0,29000.0,Petrol,635000.0
Ford,EcoSport,2014.0,44000.0,Diesel,550000.0
Maruti,Suzuki,2016.0,29000.0,Petrol,575000.0
Maruti,Suzuki,2013.0,42000.0,Diesel,485000.0
Maruti,Suzuki,2012.0,14000.0,Petrol,155000.0
Hyundai,Grand,2014.0,49000.0,Diesel,345000.0
Honda,Amaze,2014.0,42000.0,Petrol,325000.0
Hyundai,i20,2012.0,36200.0,Diesel,329500.0
Ford,Figo,2014.0,50000.0,Diesel,195000.0
Maruti,Suzuki,2015.0,55000.0,Petrol,251111.0
Maruti,Suzuki,2014.0,45000.0,Petrol,569999.0
Maruti,Suzuki,2007.0,51000.0,Petrol,69999.0
Maruti,Suzuki,2014.0,19000.0,Petrol,299999.0
Maruti,Suzuki,2009.0,46000.0,Petrol,220000.0
Maruti,Suzuki,2013.0,33000.0,Diesel,399999.0
Maruti,Suzuki,2013.0,13349.0,Petrol,372000.0
Maruti,Suzuki,2015.0,104000.0,Diesel,450000.0
Toyota,Etios,2014.0,55000.0,Petrol,270000.0
Hyundai,i20,2011.0,33333.0,Diesel,350000.0
Chevrolet,Spark,2012.0,33600.0,Petrol,158400.0
Maruti,Suzuki,2017.0,5600.0,Petrol,350000.0
Nissan,Micra,2011.0,41000.0,Petrol,179000.0
Maruti,Suzuki,2007.0,70000.0,Petrol,125000.0
Maruti,Suzuki,2018.0,7500.0,Petrol,200000.0
Honda,Amaze,2013.0,45000.0,Diesel,299000.0
Maruti,Suzuki,2015.0,38000.0,Petrol,220000.0
Chevrolet,Beat,2015.0,30000.0,Petrol,150000.0
Honda,City,2010.0,35000.0,Petrol,285000.0
Ford,EcoSport,2016.0,24330.0,Diesel,830000.0
Hyundai,i20,2009.0,65480.0,Petrol,210000.0
Maruti,Suzuki,2013.0,41000.0,Petrol,340000.0
Tata,Indica,2006.0,20000.0,Petrol,90000.0
Hindustan,Motors,2000.0,200000.0,Diesel,70000.0
Toyota,Corolla,2010.0,70000.0,Petrol,289999.0
Toyota,Corolla,2012.0,59000.0,Petrol,349999.0
Toyota,Innova,2012.0,99000.0,Diesel,849999.0
Volkswagen,Jetta,2014.0,46000.0,Diesel,749999.0
Volkswagen,Polo,2015.0,2800.0,Petrol,399999.0
Volkswagen,Polo,2014.0,32000.0,Petrol,274999.0
Mahindra,Scorpio,2015.0,22000.0,Diesel,984999.0
Renault,Duster,2014.0,50000.0,Diesel,449999.0
Honda,Amaze,2015.0,22000.0,Petrol,344999.0
Nissan,Sunny,2012.0,45000.0,Petrol,224999.0
Hyundai,Elite,2018.0,21000.0,Petrol,599999.0
Renault,Kwid,2016.0,11000.0,Petrol,244999.0
Renault,Duster,2013.0,41000.0,Diesel,399999.0
Ford,EcoSport,2017.0,39000.0,Petrol,489999.0
Renault,Duster,2014.0,50000.0,Diesel,474999.0
Mahindra,Scorpio,2011.0,66000.0,Diesel,499999.0
Maruti,Suzuki,2018.0,3000.0,Petrol,310000.0
Chevrolet,Spark,2010.0,45000.0,Petrol,85000.0
Datsun,Redi,2016.0,7000.0,Petrol,245000.0
Maruti,Suzuki,2010.0,38500.0,Diesel,189500.0
Fiat,Punto,2012.0,37200.0,Diesel,169500.0
Maruti,Suzuki,2010.0,43200.0,Diesel,159500.0
Toyota,Etios,2013.0,24800.0,Petrol,275000.0
Hyundai,i20,2014.0,60000.0,Diesel,370000.0
Hyundai,i10,2010.0,45872.0,Petrol,168000.0
Chevrolet,Beat,2011.0,40000.0,Diesel,150000.0
Chevrolet,Beat,2011.0,45000.0,Diesel,145000.0
Chevrolet,Beat,2012.0,38000.0,Diesel,98500.0
Mahindra,Scorpio,2014.0,50000.0,Diesel,699000.0
Tata,Indigo,2011.0,11400.0,Diesel,85000.0
Toyota,Corolla,2015.0,42000.0,Petrol,575000.0
Honda,City,2014.0,39000.0,Petrol,549000.0
Maruti,Suzuki,2011.0,47000.0,Diesel,209000.0
Hyundai,Eon,2013.0,27000.0,Petrol,185000.0
Mahindra,Scorpio,2015.0,97200.0,Diesel,900000.0
Mahindra,XUV500,2014.0,52000.0,Diesel,699999.0
Honda,Brio,2012.0,30000.0,Petrol,224999.0
Ford,Fiesta,2011.0,55000.0,Diesel,274999.0
Honda,Amaze,2013.0,46000.0,Diesel,284999.0
Honda,City,2015.0,30000.0,Diesel,599999.0
Maruti,Suzuki,2012.0,44000.0,Petrol,199999.0
Honda,City,2014.0,45000.0,Diesel,544999.0
Hyundai,i20,2009.0,31000.0,Petrol,199000.0
Tata,Indigo,2016.0,175430.0,Diesel,320000.0
Hyundai,Fluidic,2015.0,38000.0,Diesel,540000.0
Mahindra,Quanto,2013.0,37000.0,Diesel,340000.0
Fiat,Petra,2008.0,65000.0,Petrol,75000.0
Skoda,Fabia,2011.0,38200.0,Diesel,159500.0
Mini,Cooper,2013.0,13000.0,Petrol,1891111.0
Hyundai,Santro,2005.0,7500.0,Petrol,49000.0
Maruti,Suzuki,2016.0,3350.0,Petrol,700000.0
Maruti,Suzuki,2000.0,60000.0,Petrol,55000.0
Honda,City,2015.0,54000.0,Petrol,448999.0
Hyundai,Creta,2017.0,32000.0,Petrol,895000.0
Mahindra,Scorpio,2007.0,75000.0,Diesel,355000.0
Mahindra,Scorpio,2012.0,62000.0,Diesel,565000.0
Toyota,Innova,2006.0,73000.0,Diesel,365000.0
Maruti,Suzuki,2011.0,41000.0,Petrol,145000.0
Maruti,Suzuki,2011.0,35000.0,Petrol,210000.0
Tata,Nano,2013.0,2200.0,Petrol,40000.0
Maruti,Suzuki,2013.0,39000.0,Petrol,125000.0
Maruti,Suzuki,2009.0,45000.0,Petrol,135000.0
Maruti,Suzuki,2006.0,45000.0,Petrol,135000.0
Tata,Sumo,2012.0,65000.0,Diesel,285000.0
Maruti,Suzuki,2010.0,54870.0,Petrol,145000.0
Maruti,Suzuki,2010.0,34580.0,Petrol,135000.0
Volkswagen,Passat,2009.0,97000.0,Diesel,450000.0
Renault,Scala,2015.0,25000.0,Diesel,375000.0
Mahindra,Quanto,2013.0,20000.0,Diesel,375000.0
Hyundai,Grand,2014.0,20000.0,Petrol,365000.0
Hyundai,i20,2015.0,18000.0,Petrol,500000.0
Mahindra,Xylo,2012.0,35000.0,Diesel,400000.0
Mahindra,Jeep,2019.0,60.0,Diesel,390000.0
